"","t1","t4","t5","t2","t3"
"1","1","1","1","1","1"
"2","1","0","1","1","0"
"3","0","1","1","0","1"
"4","0","1","0","1","0"
"5","0","1","1","1","1"
"6","1","0","0","0","0"
"7","0","1","1","1","1"
"8","1","1","0","0","0"
"9","1","1","0","0","0"
"10","0","0","0","0","0"
"11","1","1","1","1","1"
"12","0","0","1","0","1"
"13","1","0","0","1","1"
"14","0","1","1","1","1"
"15","0","0","1","1","1"
"16","1","1","1","1","1"
"17","0","1","0","0","0"
"18","0","1","0","0","0"
"19","0","0","0","1","0"
"20","1","1","0","0","0"
"21","1","0","1","1","0"
"22","1","0","1","0","0"
"23","1","0","1","0","0"
"24","1","1","0","1","0"
"25","0","0","1","1","1"
"26","0","1","1","0","0"
"27","1","1","0","1","0"
"28","1","1","1","1","1"
"29","1","1","0","0","1"
"30","0","0","1","1","1"
"31","1","1","1","1","1"
"32","1","1","0","1","0"
"33","0","0","0","1","0"
"34","0","0","1","0","0"
"35","1","1","0","0","0"
"36","1","0","0","0","0"
"37","1","1","0","0","1"
"38","0","1","1","1","1"
"39","0","1","1","1","0"
"40","0","0","0","1","0"
"41","0","0","0","0","1"
"42","0","1","1","0","0"
"43","0","0","0","0","1"
"44","1","1","1","1","1"
"45","1","1","1","1","1"
"46","1","1","1","1","1"
"47","0","1","1","1","1"
"48","0","0","1","1","1"
"49","1","1","0","1","0"
"50","0","1","0","0","0"
"51","0","1","1","0","0"
"52","0","1","0","1","0"
"53","1","1","1","1","0"
"54","0","0","1","1","1"
"55","1","1","0","0","0"
"56","0","0","0","0","0"
"57","0","0","0","0","0"
"58","0","0","0","0","0"
"59","1","1","1","1","1"
"60","1","1","0","1","1"
"61","0","0","0","0","0"
"62","0","0","0","0","1"
"63","0","0","1","1","1"
"64","1","1","0","0","0"
"65","0","1","0","1","0"
"66","1","0","0","0","0"
"67","0","1","1","1","1"
"68","1","1","0","0","0"
"69","1","1","1","0","1"
"70","0","0","0","0","1"
"71","1","1","0","0","1"
"72","0","1","1","1","1"
"73","0","0","0","1","1"
"74","1","1","1","1","0"
"75","1","1","1","1","1"
"76","0","1","1","0","0"
"77","1","0","1","1","1"
"78","0","0","1","1","1"
"79","1","0","1","1","1"
"80","1","1","1","1","0"
"81","0","1","1","1","1"
"82","1","1","1","1","1"
"83","0","1","1","1","1"
"84","0","0","0","1","0"
"85","1","1","0","1","0"
"86","1","1","0","0","1"
"87","1","1","0","0","0"
"88","1","0","0","1","0"
"89","1","0","0","0","0"
"90","0","0","0","0","0"
"91","1","1","0","0","0"
"92","1","0","1","1","1"
"93","1","0","0","0","0"
"94","0","0","0","0","1"
"95","1","0","0","0","1"
"96","0","1","1","1","1"
"97","0","0","0","0","0"
"98","0","1","1","1","1"
"99","1","1","0","0","0"
"100","0","1","1","1","1"
"101","1","1","0","1","1"
"102","0","0","1","1","0"
"103","0","0","1","0","0"
"104","1","1","0","1","0"
"105","0","1","1","1","1"
"106","0","0","1","0","0"
"107","0","0","1","1","0"
"108","0","1","0","0","1"
"109","0","1","0","1","1"
"110","0","0","0","1","1"
"111","0","1","0","0","1"
"112","1","1","0","1","1"
"113","1","0","0","0","1"
