"","t5","t1","t2","t4","t8","t10","t9","t6","t3","t7"
"1","0","0","0","1","1","1","1","1","1","1"
"2","1","1","1","0","1","1","1","1","0","0"
"3","0","1","1","0","1","1","1","1","1","0"
"4","1","1","0","0","1","1","1","1","1","1"
"5","1","1","1","0","0","0","0","0","0","0"
"6","1","1","0","0","0","1","1","0","0","0"
"7","1","1","0","1","0","0","0","0","0","1"
"8","0","1","1","1","1","1","1","1","1","1"
"9","1","1","1","0","0","0","0","1","0","1"
"10","1","0","0","0","1","1","1","1","0","1"
"11","1","1","1","1","0","1","1","1","0","1"
"12","1","1","1","0","1","0","1","1","0","1"
"13","1","1","0","0","0","0","0","0","0","1"
"14","0","1","0","1","1","0","1","1","1","0"
"15","0","1","1","1","1","1","1","1","1","0"
"16","0","1","1","1","0","0","0","0","0","0"
"17","1","1","1","0","0","1","1","0","1","0"
"18","0","1","0","1","1","1","1","1","1","1"
"19","1","1","0","0","0","0","0","1","0","1"
"20","1","1","1","1","0","1","1","1","0","1"
"21","0","0","1","1","1","1","1","1","0","0"
"22","0","0","0","1","1","1","1","1","1","1"
"23","1","1","1","0","0","0","0","1","1","1"
"24","1","0","1","1","1","0","0","1","1","0"
"25","1","1","1","0","0","0","0","0","0","1"
"26","0","0","0","1","1","0","0","0","1","1"
"27","0","0","0","1","0","0","0","0","0","1"
"28","1","1","0","0","1","1","1","0","0","1"
"29","1","1","0","0","0","1","0","0","1","1"
"30","0","1","0","1","1","1","1","1","1","1"
"31","1","1","1","0","0","1","1","1","0","1"
"32","1","1","1","1","1","0","0","0","0","0"
"33","0","0","0","0","0","1","1","1","0","0"
"34","1","1","1","1","0","1","1","1","1","0"
"35","1","0","1","0","1","0","0","0","1","0"
"36","0","0","1","1","0","0","1","0","1","0"
"37","0","0","1","1","1","1","1","1","1","1"
"38","1","1","1","1","1","1","1","1","1","1"
"39","0","1","0","1","0","1","1","1","1","0"
"40","1","0","0","1","1","1","1","0","0","0"
"41","1","0","0","1","0","1","0","0","1","1"
"42","1","1","1","0","0","0","0","1","1","1"
"43","1","0","1","0","0","0","0","1","0","1"
"44","1","1","0","1","1","0","0","1","0","1"
"45","1","0","0","1","0","1","1","1","1","1"
"46","0","1","0","1","1","1","1","0","1","1"
"47","1","0","1","0","0","0","0","0","0","0"
"48","1","1","0","0","1","0","0","0","0","1"
"49","0","1","1","0","0","1","0","1","0","0"
