"","X1","X2","X3","X4","X5"
"1","green","green","green","green","green"
"2","green","red","green","green","red"
"3","red","green","green","red","green"
"4","red","green","red","green","red"
"5","red","green","green","green","green"
"6","green","red","red","red","red"
"7","red","green","green","green","green"
"8","green","green","red","red","red"
"9","green","green","red","red","red"
"10","red","red","red","red","red"
"11","green","green","green","green","green"
"12","red","red","green","red","green"
"13","green","red","red","green","green"
"14","red","green","green","green","green"
"15","red","red","green","green","green"
"16","green","green","green","green","green"
"17","red","green","red","red","red"
"18","red","green","red","red","red"
"19","red","red","red","green","red"
"20","green","green","red","red","red"
"21","green","red","green","green","red"
"22","green","red","green","red","red"
"23","green","red","green","red","red"
"24","green","green","red","green","red"
"25","red","red","green","green","green"
"26","red","green","green","red","red"
"27","green","green","red","green","red"
"28","green","green","green","green","green"
"29","green","green","red","red","green"
"30","red","red","green","green","green"
"31","green","green","green","green","green"
"32","green","green","red","green","red"
"33","red","red","red","green","red"
"34","red","red","green","red","red"
"35","green","green","red","red","red"
"36","green","red","red","red","red"
"37","green","green","red","red","green"
"38","red","green","green","green","green"
"39","red","green","green","green","red"
"40","red","red","red","green","red"
"41","red","red","red","red","green"
"42","red","green","green","red","red"
"43","red","red","red","red","green"
"44","green","green","green","green","green"
"45","green","green","green","green","green"
"46","green","green","green","green","green"
"47","red","green","green","green","green"
"48","red","red","green","green","green"
"49","green","green","red","red","red"
"50","red","green","red","red","red"
"51","red","green","green","red","red"
"52","red","green","red","green","red"
"53","green","green","green","green","red"
"54","red","red","green","green","green"
"55","green","green","red","red","red"
"56","red","red","red","red","red"
"57","red","red","red","red","red"
"58","red","red","red","red","red"
"59","green","green","green","green","green"
"60","green","green","red","green","green"
"61","red","red","red","red","red"
"62","red","red","red","red","green"
"63","red","red","green","green","green"
"64","green","green","red","red","red"
"65","red","green","red","green","red"
"66","green","red","red","red","red"
"67","red","green","green","green","green"
"68","green","green","red","red","red"
"69","green","green","green","red","green"
"70","red","red","red","red","green"
"71","green","green","red","red","green"
"72","red","green","green","green","green"
"73","red","red","red","green","green"
"74","green","green","green","green","red"
"75","green","green","green","green","green"
"76","red","green","green","red","red"
"77","green","red","green","green","green"
"78","red","red","green","green","green"
"79","green","red","green","green","green"
"80","green","green","green","green","red"
"81","red","green","green","green","green"
"82","green","green","green","green","green"
"83","red","green","green","green","green"
"84","red","red","red","green","red"
"85","green","green","red","green","red"
"86","green","green","red","red","green"
"87","green","green","red","red","red"
"88","green","red","red","green","green"
"89","green","red","red","red","red"
"90","red","red","red","red","red"
"91","green","green","red","red","red"
"92","green","red","green","green","green"
"93","green","red","red","red","red"
"94","red","red","red","red","green"
"95","green","red","red","red","green"
"96","red","green","green","green","green"
"97","red","red","red","red","red"
"98","red","green","green","green","green"
"99","green","green","red","red","red"
"100","red","green","green","green","green"
"101","green","green","red","green","green"
"102","red","red","green","green","red"
"103","red","red","green","red","red"
"104","green","green","red","green","red"
"105","red","green","green","green","green"
"106","red","red","green","red","red"
"107","red","red","green","green","red"
"108","red","green","red","red","green"
"109","red","green","red","green","green"
"110","red","red","red","green","green"
"111","red","green","red","red","green"
"112","green","green","red","green","green"
"113","green","red","red","red","green"
"114","red","red","red","green","red"
"115","green","green","green","green","green"
"116","green","green","green","green","green"
"117","green","red","green","green","red"
"118","green","green","green","green","green"
"119","red","red","green","red","red"
"120","green","red","green","red","green"
"121","green","red","red","green","green"
"122","red","red","green","red","green"
"123","green","green","green","green","green"
"124","green","red","red","green","red"
"125","red","green","green","green","green"
"126","green","red","red","red","red"
"127","green","green","red","red","red"
"128","red","red","green","green","green"
"129","green","red","green","green","green"
"130","green","green","red","green","red"
"131","red","green","green","green","green"
"132","green","red","red","green","red"
"133","red","red","green","red","red"
"134","red","green","red","green","red"
"135","red","green","red","green","green"
"136","red","green","red","green","red"
"137","red","green","green","green","green"
"138","red","green","green","red","green"
"139","green","red","green","green","green"
"140","red","green","green","green","green"
"141","red","green","red","green","red"
"142","red","green","green","green","green"
"143","red","green","green","red","red"
"144","red","red","red","red","red"
"145","green","green","red","red","red"
"146","green","red","green","green","red"
"147","red","green","green","green","green"
"148","red","green","green","red","green"
"149","red","green","red","green","green"
"150","green","red","red","red","red"
"151","green","red","green","red","green"
"152","green","red","red","red","red"
"153","red","red","red","red","red"
"154","red","green","green","red","green"
"155","green","green","green","green","green"
"156","red","green","green","green","green"
"157","red","green","green","green","green"
"158","green","green","red","red","red"
"159","green","green","green","red","red"
"160","red","green","red","red","red"
"161","red","green","red","green","red"
"162","red","red","red","red","red"
"163","green","green","red","red","red"
"164","red","green","red","red","green"
"165","green","green","green","green","green"
"166","red","green","green","red","red"
"167","green","red","green","green","green"
"168","green","red","green","red","green"
"169","red","green","green","red","red"
"170","red","green","green","red","green"
"171","green","green","red","red","red"
"172","red","green","red","red","red"
"173","red","red","red","green","red"
"174","green","green","green","green","green"
"175","red","red","green","green","green"
"176","red","green","green","green","red"
"177","red","red","green","green","green"
"178","green","green","red","red","red"
"179","red","red","red","red","red"
"180","red","red","green","red","red"
"181","green","red","red","red","red"
"182","green","green","green","green","red"
"183","red","red","red","green","green"
"184","green","green","green","green","green"
"185","red","green","red","red","red"
"186","red","green","red","red","red"
"187","red","red","red","red","red"
"188","red","green","red","green","green"
"189","green","green","green","green","green"
"190","red","green","red","green","green"
"191","green","red","green","green","green"
"192","green","red","red","red","green"
"193","green","red","red","green","red"
"194","green","red","red","green","green"
"195","red","green","green","green","red"
"196","green","red","green","red","green"
"197","red","green","red","red","red"
"198","red","red","red","red","green"
"199","red","red","red","green","red"
"200","red","green","green","green","green"
"201","green","red","red","green","red"
"202","green","red","green","green","green"
"203","red","red","green","green","green"
"204","red","green","green","green","green"
"205","red","red","red","red","green"
"206","red","green","green","green","green"
"207","red","red","red","red","red"
"208","green","green","green","green","red"
"209","green","green","green","green","green"
"210","red","red","red","red","red"
"211","green","green","red","green","red"
"212","red","red","green","red","green"
"213","green","red","red","red","red"
"214","red","red","red","red","red"
"215","green","green","red","green","red"
"216","red","red","red","green","green"
"217","red","red","red","red","green"
"218","red","red","green","red","red"
"219","green","green","green","green","green"
"220","green","green","green","red","red"
"221","green","red","red","green","red"
"222","red","green","green","green","green"
"223","green","green","green","red","red"
"224","green","green","green","green","green"
"225","red","green","green","green","green"
"226","green","green","green","green","green"
"227","red","green","red","red","red"
"228","green","red","red","red","red"
"229","red","red","red","red","red"
"230","green","red","red","green","red"
"231","red","red","green","green","red"
