"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","red","red","red","red","red","red","red","red","red","red"
"2","green","green","green","green","green","red","red","red","red","green"
"3","green","green","red","red","red","red","red","green","red","green"
"4","green","green","green","green","green","green","green","red","red","red"
"5","green","green","green","green","red","green","green","green","red","green"
"6","green","green","green","green","green","green","green","green","green","green"
"7","red","red","green","red","green","red","red","green","red","green"
"8","green","green","green","green","green","green","green","green","green","green"
"9","red","red","green","green","green","green","green","green","green","red"
"10","green","red","red","green","red","green","green","red","red","green"
"11","green","green","green","green","green","green","green","red","red","green"
"12","red","red","green","green","green","green","green","green","red","red"
"13","green","red","green","red","red","green","green","red","red","red"
"14","red","red","green","green","green","green","green","green","red","green"
"15","red","green","green","red","green","red","red","red","green","red"
"16","red","red","green","red","red","green","green","red","green","red"
"17","red","red","green","green","green","green","green","green","red","green"
"18","green","red","red","green","green","red","red","red","red","green"
"19","red","red","red","green","green","red","red","red","red","red"
"20","green","green","red","green","green","red","red","red","green","green"
"21","green","red","red","green","red","red","red","green","red","red"
"22","green","green","red","green","red","red","red","green","green","green"
"23","green","green","green","red","red","red","red","red","green","red"
"24","green","green","red","green","red","green","green","green","green","red"
"25","green","green","green","red","green","red","red","red","green","green"
"26","green","green","green","green","green","green","green","green","green","red"
"27","red","green","red","red","green","red","red","red","red","green"
"28","green","green","red","red","green","green","green","green","red","red"
"29","green","green","green","green","green","green","green","red","red","green"
"30","green","green","red","red","green","red","red","red","green","green"
"31","red","green","red","red","green","green","green","green","red","green"
"32","red","green","red","green","green","green","green","green","green","red"
"33","red","green","red","green","green","green","green","red","green","green"
"34","red","red","red","green","red","red","red","green","red","red"
"35","red","green","green","green","green","green","green","green","green","green"
"36","green","green","green","red","green","green","green","green","red","green"
"37","red","green","red","green","green","green","green","green","green","green"
"38","green","red","green","green","green","green","green","green","green","green"
"39","green","red","red","green","red","red","red","green","green","green"
"40","green","green","red","red","red","red","red","green","green","red"
"41","red","red","green","green","green","green","green","green","green","green"
"42","red","green","green","red","red","red","red","red","green","red"
"43","green","green","green","red","green","green","green","red","red","red"
"44","green","green","green","green","red","red","red","red","green","green"
"45","red","red","green","red","red","red","red","red","red","green"
"46","green","red","green","green","red","red","red","red","green","red"
"47","green","red","red","red","red","red","red","green","green","green"
"48","green","green","green","red","red","green","green","green","green","green"
"49","red","green","red","green","red","green","red","red","green","green"
"50","red","red","red","green","red","red","red","red","green","green"
"51","red","green","green","green","green","green","green","red","green","red"
"52","red","red","green","red","red","red","red","red","green","red"
"53","green","green","green","green","green","red","red","red","red","green"
"54","red","red","red","green","red","green","green","red","red","red"
"55","red","green","red","green","red","red","red","green","red","green"
"56","red","red","green","red","green","green","green","green","green","green"
"57","green","red","green","red","red","red","red","red","red","green"
"58","green","green","red","green","green","green","green","green","green","green"
"59","green","green","green","green","green","green","green","green","green","red"
"60","green","green","red","green","green","green","green","green","red","green"
"61","green","red","red","red","red","green","green","green","green","red"
"62","red","red","green","green","red","red","red","green","green","green"
"63","red","red","green","red","green","red","red","green","green","green"
"64","green","green","green","red","green","green","green","green","green","red"
"65","red","red","green","red","red","red","red","red","green","red"
"66","green","green","red","green","green","green","green","green","red","green"
"67","green","green","green","green","red","red","red","green","green","red"
"68","red","red","green","red","green","red","red","red","green","red"
"69","red","green","red","green","green","green","green","red","green","green"
"70","red","green","red","red","red","red","green","green","red","red"
"71","green","green","green","green","red","red","red","red","green","green"
"72","green","green","green","green","red","green","green","green","green","green"
"73","red","red","green","green","red","red","red","red","green","green"
"74","green","red","green","green","red","green","green","green","green","red"
"75","red","red","red","green","green","red","red","green","red","green"
"76","green","green","red","green","red","red","red","green","red","red"
"77","green","green","red","red","red","green","red","red","green","red"
"78","red","green","red","green","red","green","green","red","green","red"
"79","red","red","green","red","green","green","green","red","red","red"
"80","green","green","red","green","red","red","green","green","red","green"
"81","green","green","red","green","green","green","green","red","red","green"
"82","green","green","green","red","green","red","green","red","green","red"
"83","green","green","red","red","red","red","red","green","green","green"
"84","green","green","green","green","red","red","red","red","red","red"
"85","green","green","red","red","red","green","green","green","green","red"
"86","red","red","green","green","red","green","green","red","red","red"
"87","green","green","green","green","green","green","green","green","green","red"
"88","red","green","red","red","green","red","red","red","red","green"
"89","red","red","green","green","green","green","green","green","green","green"
"90","green","green","green","red","red","green","green","green","green","green"
"91","green","green","red","green","red","red","green","red","green","green"
"92","red","red","green","red","green","green","green","red","red","green"
"93","green","green","green","green","red","red","red","green","red","red"
"94","red","red","green","red","green","green","green","green","green","green"
"95","green","green","green","red","green","green","green","red","red","red"
"96","green","green","green","green","green","green","green","red","green","green"
"97","red","green","green","red","green","green","green","green","red","green"
"98","red","red","green","green","red","green","green","red","red","green"
"99","red","green","red","green","green","green","green","red","green","red"
"100","green","green","green","green","green","green","green","green","green","green"
"101","green","red","red","red","green","green","green","red","green","red"
"102","green","red","green","red","red","green","green","red","red","red"
"103","green","red","red","green","green","green","green","green","green","red"
"104","green","red","green","red","green","green","green","green","red","red"
"105","green","red","red","red","green","green","green","green","green","green"
"106","red","green","red","red","green","green","green","red","green","red"
"107","green","green","red","red","red","green","green","green","green","red"
"108","red","red","red","red","red","green","red","green","green","red"
"109","green","green","green","green","green","green","green","red","green","green"
"110","red","red","red","green","red","red","red","red","green","green"
"111","green","green","green","red","green","red","red","red","red","red"
"112","green","red","green","green","green","green","green","red","red","green"
"113","red","red","red","red","red","green","green","red","red","red"
"114","green","red","green","green","red","green","red","red","red","red"
"115","green","green","red","green","red","red","green","red","red","green"
"116","green","green","green","green","green","green","green","green","green","red"
"117","green","green","red","red","green","green","green","red","red","red"
"118","red","red","green","green","green","red","red","red","green","red"
"119","green","red","green","green","green","green","green","green","green","green"
"120","red","red","red","green","red","red","green","green","red","red"
"121","red","green","red","green","green","red","green","green","red","red"
"122","green","green","green","green","green","green","red","green","green","green"
"123","green","green","red","red","green","green","green","green","red","green"
"124","red","red","red","green","red","red","red","red","green","red"
"125","green","green","green","green","green","green","green","red","red","red"
"126","red","red","green","green","green","green","green","green","green","green"
"127","green","red","red","green","green","green","green","green","red","green"
"128","green","green","green","red","green","green","green","green","green","red"
"129","green","red","red","red","red","green","green","red","green","red"
"130","red","red","red","green","green","red","red","red","green","green"
"131","red","red","red","green","red","red","red","red","red","red"
"132","red","green","red","green","red","green","red","green","red","green"
"133","red","red","green","green","green","green","red","red","red","green"
"134","green","green","green","green","red","green","red","green","red","green"
"135","red","green","green","green","red","green","red","green","green","red"
"136","green","green","green","red","green","green","green","red","green","green"
"137","red","red","red","green","green","red","red","red","green","green"
"138","green","green","green","green","green","red","red","green","red","red"
"139","green","red","red","green","green","green","green","green","green","red"
"140","green","green","green","green","red","red","red","red","green","green"
"141","red","red","green","red","green","green","green","green","red","green"
"142","red","red","green","green","green","red","red","green","green","red"
"143","green","green","green","green","green","green","green","green","green","red"
"144","green","green","green","green","green","green","green","green","green","red"
"145","green","green","green","green","red","green","green","green","green","green"
"146","green","green","red","red","red","red","red","green","red","green"
"147","green","red","red","red","red","red","red","green","green","red"
"148","red","green","green","green","red","green","green","green","green","green"
"149","green","green","red","red","red","green","green","red","red","green"
"150","red","green","green","green","red","red","red","red","green","green"
"151","red","red","red","green","red","green","green","red","green","green"
"152","green","green","green","green","red","green","red","green","green","green"
"153","green","red","red","red","red","red","red","red","green","green"
"154","green","green","green","red","green","green","red","green","red","red"
"155","green","green","red","red","green","green","green","green","red","red"
"156","red","red","green","green","green","green","green","green","green","green"
"157","red","red","green","red","red","red","red","red","red","red"
"158","red","red","green","green","green","green","green","green","red","green"
"159","red","green","green","red","red","green","red","red","red","green"
"160","green","green","green","green","red","red","red","green","green","green"
"161","green","green","green","green","green","red","red","red","red","green"
"162","green","red","green","green","green","green","green","green","green","green"
"163","green","green","red","green","red","red","green","green","green","red"
"164","green","green","red","red","green","red","red","red","red","green"
"165","green","green","green","red","red","red","red","red","green","red"
"166","green","green","green","green","green","red","green","green","green","red"
"167","red","red","green","green","green","green","green","green","green","green"
"168","green","green","green","red","red","red","red","red","green","red"
"169","green","green","red","red","green","red","green","red","red","red"
"170","green","green","green","green","red","red","red","green","green","red"
"171","red","red","green","red","red","green","green","green","green","green"
"172","green","green","red","green","green","red","red","green","red","green"
"173","green","green","green","green","green","green","green","green","red","red"
"174","red","green","red","red","green","green","green","red","green","green"
"175","green","red","green","green","red","red","red","green","green","green"
"176","red","red","red","red","red","red","red","green","red","red"
"177","green","green","red","green","green","green","green","green","green","red"
"178","green","green","red","green","green","red","red","red","red","green"
"179","red","green","green","green","green","green","green","green","green","green"
"180","green","green","red","red","red","green","green","red","green","green"
"181","green","green","red","green","green","green","green","red","green","green"
"182","red","green","red","green","green","green","green","green","red","green"
"183","red","green","red","red","red","red","red","green","green","red"
"184","green","green","red","red","green","green","green","red","green","green"
"185","red","red","red","red","red","red","red","red","green","green"
"186","red","green","red","green","green","green","red","red","green","green"
"187","red","green","green","red","green","green","green","red","green","red"
"188","green","red","red","green","red","red","red","red","green","red"
"189","green","green","red","green","green","green","green","green","green","green"
"190","red","green","green","red","green","green","green","red","red","green"
"191","green","green","red","green","green","green","green","green","green","green"
"192","red","red","green","red","red","red","red","red","green","green"
"193","red","green","green","green","green","green","green","red","green","red"
"194","green","red","green","green","red","red","red","red","red","green"
"195","red","red","green","red","red","red","red","green","green","red"
"196","green","green","red","green","green","red","red","red","red","red"
"197","red","green","green","red","red","red","red","green","green","red"
"198","green","green","red","green","red","green","red","green","green","red"
"199","red","red","green","red","red","green","green","green","red","green"
"200","green","green","red","red","green","green","red","red","red","red"
"201","green","green","green","green","green","green","green","green","green","green"
"202","red","red","green","red","red","green","green","red","green","green"
"203","green","green","red","red","red","red","red","green","green","green"
"204","red","red","red","red","green","green","green","green","green","green"
"205","green","red","red","green","green","green","green","green","green","red"
"206","red","red","green","green","green","green","green","green","red","green"
"207","green","green","red","red","green","red","red","green","green","green"
"208","red","red","green","green","red","red","red","red","red","red"
"209","green","green","red","green","green","red","red","red","red","green"
"210","red","green","red","red","red","red","red","green","red","green"
"211","red","green","green","green","red","red","green","red","green","red"
"212","red","red","red","green","red","red","red","red","red","red"
"213","green","green","green","red","green","green","red","green","red","red"
"214","green","red","green","green","green","green","green","green","red","red"
"215","green","red","red","green","red","green","green","red","red","green"
"216","green","green","red","green","green","red","red","red","green","green"
"217","green","green","red","green","red","green","green","green","green","green"
"218","red","red","green","red","green","green","green","red","red","green"
"219","green","green","green","red","green","green","green","red","red","red"
"220","red","red","green","red","red","green","green","red","red","green"
"221","green","green","red","red","green","green","red","red","red","green"
"222","green","green","green","green","green","green","green","red","green","green"
"223","green","red","green","red","red","green","green","red","green","green"
"224","red","green","green","red","green","green","red","green","green","green"
"225","red","red","green","red","red","red","red","green","red","red"
"226","green","green","green","green","green","green","green","red","red","green"
"227","green","green","red","green","red","green","green","green","green","green"
"228","green","red","green","red","red","green","green","red","green","red"
"229","red","red","green","green","red","green","green","red","red","green"
"230","green","green","green","red","green","red","red","green","green","green"
"231","red","red","red","green","red","red","red","red","red","green"
"232","green","green","red","red","green","green","green","green","green","red"
"233","green","green","green","green","green","green","green","green","green","green"
"234","green","green","green","red","red","green","green","green","green","green"
"235","red","red","red","red","red","red","red","green","green","red"
"236","green","green","red","red","red","red","red","green","green","red"
"237","green","green","green","red","green","red","red","green","red","green"
"238","red","red","red","green","green","green","green","red","green","red"
"239","red","red","green","red","green","red","green","green","green","green"
"240","green","red","green","red","red","green","green","green","green","green"
"241","green","green","green","red","green","green","green","green","red","green"
"242","red","green","red","red","green","green","green","green","green","red"
"243","red","green","green","green","red","green","green","green","red","green"
"244","green","green","green","green","red","red","red","red","red","green"
"245","red","red","green","green","red","green","green","red","red","red"
"246","green","green","red","green","red","red","red","green","red","green"
"247","red","green","green","red","green","red","red","red","green","green"
"248","red","green","green","green","green","green","green","green","green","green"
"249","green","green","green","green","green","green","green","green","red","green"
"250","green","green","green","red","red","red","red","green","red","red"
"251","red","red","green","green","green","green","green","green","green","green"
"252","red","red","red","red","red","red","red","red","red","green"
"253","red","red","red","red","red","red","red","green","green","red"
"254","red","red","red","green","green","green","red","green","green","green"
"255","red","red","green","green","red","red","red","red","green","red"
"256","green","green","red","green","green","green","green","green","green","green"
"257","green","green","red","green","green","green","green","green","green","red"
"258","red","red","red","red","red","red","red","red","green","green"
"259","green","red","green","red","green","green","green","red","red","red"
"260","green","green","red","red","green","red","green","red","red","green"
"261","green","green","red","red","green","green","green","red","green","red"
"262","red","red","red","red","red","red","green","red","red","red"
"263","green","green","green","red","red","red","red","green","green","green"
"264","green","green","red","green","red","red","red","red","red","green"
"265","red","red","green","red","red","red","red","green","red","green"
"266","green","green","red","red","red","green","red","red","green","red"
"267","green","green","green","red","green","red","red","red","green","green"
"268","red","red","red","red","red","red","green","green","red","red"
"269","green","red","red","green","green","green","green","green","red","green"
"270","red","green","green","green","green","green","red","green","green","green"
"271","green","red","green","red","green","red","red","green","green","green"
"272","green","green","red","green","red","green","green","red","red","green"
"273","green","green","red","red","green","red","green","red","red","green"
"274","green","green","red","green","green","green","green","green","green","green"
"275","red","green","red","green","green","green","green","green","green","red"
"276","red","green","red","green","red","green","red","red","red","green"
"277","red","red","green","green","red","green","green","green","green","red"
"278","green","green","red","green","green","red","red","green","green","green"
"279","green","green","green","green","green","green","green","red","green","green"
"280","green","green","green","green","green","green","green","green","green","red"
"281","green","green","red","red","green","red","red","red","red","red"
"282","green","green","green","green","green","green","green","green","green","red"
"283","red","green","green","green","green","green","green","red","red","green"
"284","red","red","red","red","green","green","green","red","red","green"
"285","green","green","red","green","green","green","green","green","green","green"
"286","green","green","red","green","green","red","red","green","green","red"
"287","green","green","red","green","green","red","red","green","red","green"
"288","green","green","red","green","green","red","red","green","red","green"
"289","green","green","green","red","green","red","red","red","red","green"
"290","red","red","red","green","red","red","red","red","red","red"
"291","red","red","green","red","green","green","red","red","green","green"
"292","green","green","red","green","red","green","red","green","red","green"
"293","green","green","red","red","red","red","red","green","red","red"
"294","green","green","green","green","green","green","red","green","green","red"
"295","red","red","green","green","green","red","red","red","green","red"
"296","green","green","red","green","green","green","green","green","green","red"
"297","green","red","green","red","green","green","green","green","green","red"
"298","red","green","green","green","red","red","green","red","red","green"
"299","green","green","red","green","red","red","red","green","red","green"
"300","green","green","green","green","red","green","red","red","red","red"
"301","red","red","green","red","green","red","red","red","red","red"
"302","red","red","green","green","red","red","red","red","red","red"
"303","green","green","red","red","red","red","green","red","red","green"
"304","green","green","red","green","green","green","red","green","green","red"
"305","red","green","red","red","red","red","red","green","green","green"
"306","red","red","red","red","red","red","red","green","red","green"
"307","red","green","red","green","green","green","red","green","red","green"
"308","red","red","red","red","red","red","red","red","red","green"
"309","red","green","green","green","green","red","red","red","red","red"
"310","green","green","green","green","red","red","red","red","red","red"
"311","green","green","green","green","green","green","green","green","green","green"
"312","green","green","red","red","green","green","green","green","red","red"
"313","green","red","green","green","green","green","green","green","green","green"
"314","green","green","red","red","red","red","red","green","red","red"
"315","red","green","green","red","red","red","red","red","green","red"
"316","green","green","red","red","green","green","green","red","red","red"
"317","green","green","red","red","red","red","red","red","red","red"
"318","green","green","green","green","red","red","red","green","green","green"
"319","green","green","green","green","green","green","green","green","green","green"
"320","red","red","red","green","green","green","green","green","green","green"
"321","green","green","red","green","red","red","red","red","red","red"
"322","red","red","red","red","green","green","green","green","red","red"
"323","green","green","red","green","red","red","red","green","green","red"
"324","red","red","green","red","green","red","red","red","red","green"
"325","red","green","red","green","green","green","green","green","green","green"
"326","green","green","red","red","red","red","red","red","red","red"
"327","red","red","red","green","red","green","red","red","red","green"
"328","red","green","green","red","green","green","green","red","red","red"
"329","red","red","red","green","green","green","green","green","green","red"
"330","green","green","red","green","green","red","red","green","red","green"
"331","green","green","green","green","red","red","red","red","red","red"
"332","red","red","green","red","red","red","red","red","red","green"
"333","red","green","green","green","red","red","red","green","green","red"
"334","green","green","red","red","red","red","green","green","green","green"
"335","red","red","green","red","green","green","green","green","green","green"
"336","green","green","red","red","red","red","red","green","red","red"
"337","green","red","red","green","green","red","red","green","green","red"
"338","red","green","red","green","green","green","green","red","green","red"
"339","green","green","green","red","red","green","green","red","red","green"
"340","green","green","green","green","green","red","red","green","red","red"
"341","red","red","red","green","red","red","red","green","red","green"
"342","green","green","red","red","red","red","red","green","green","red"
"343","green","red","red","green","red","red","green","green","red","red"
"344","green","green","green","green","red","red","red","green","red","green"
"345","red","green","green","red","green","green","green","green","red","green"
"346","red","green","green","red","green","green","red","green","red","green"
"347","red","red","red","red","red","red","red","red","red","green"
"348","red","red","red","green","green","green","green","green","green","green"
"349","green","red","red","green","red","green","red","red","red","red"
"350","red","red","green","red","green","red","red","red","red","green"
"351","red","red","green","green","red","green","green","red","red","red"
"352","red","green","green","green","green","green","green","green","green","green"
"353","green","green","red","green","green","red","green","red","red","green"
"354","red","red","green","green","red","red","red","green","red","green"
"355","red","red","green","red","red","red","red","green","green","red"
"356","green","green","green","red","red","red","red","red","green","green"
"357","red","green","red","red","green","green","green","green","green","green"
"358","red","red","red","green","green","green","green","green","green","red"
"359","red","red","red","red","red","green","red","green","red","green"
"360","green","green","green","green","red","green","red","red","green","green"
"361","green","green","red","red","green","green","green","green","green","green"
"362","red","red","green","green","red","green","red","red","red","green"
"363","green","green","green","red","green","red","red","red","green","red"
"364","green","green","green","green","green","green","green","red","red","red"
"365","green","green","red","red","red","red","red","red","green","red"
"366","green","green","red","red","green","red","red","red","red","red"
"367","green","green","red","red","red","red","green","red","red","green"
"368","red","red","red","red","red","red","red","red","red","green"
"369","green","red","green","green","green","green","green","green","green","green"
"370","green","green","green","green","green","green","green","green","green","green"
"371","red","red","green","red","green","green","green","red","red","red"
"372","red","green","red","green","green","green","green","green","red","green"
"373","red","red","green","green","red","red","red","green","green","green"
"374","green","green","red","green","green","green","green","green","green","green"
"375","red","green","red","green","red","red","green","red","red","red"
"376","green","green","green","green","green","green","green","green","green","green"
"377","red","red","red","red","green","green","green","green","green","green"
"378","green","green","red","green","green","red","red","red","red","red"
"379","red","green","green","red","red","green","green","green","red","red"
"380","red","red","green","green","red","green","green","green","red","red"
"381","green","green","red","red","green","green","green","green","green","green"
"382","green","green","red","red","green","red","green","red","green","green"
"383","green","green","green","red","red","green","green","red","red","green"
"384","green","red","red","red","red","red","red","red","green","green"
"385","green","green","green","red","green","green","green","green","green","green"
"386","red","red","red","green","red","green","green","red","green","red"
"387","green","green","red","green","red","red","red","red","red","green"
"388","green","green","red","green","red","green","red","green","green","red"
"389","red","red","red","red","red","red","red","green","green","red"
"390","green","red","red","green","red","green","green","green","green","green"
"391","green","red","red","green","green","green","green","green","red","red"
"392","green","red","green","red","red","red","red","red","red","green"
"393","green","green","green","green","green","red","green","red","red","green"
"394","red","red","red","green","green","green","green","green","green","green"
"395","green","green","green","green","red","green","green","green","green","green"
"396","green","green","red","red","red","red","red","green","green","red"
"397","red","red","green","green","red","green","green","red","red","green"
"398","green","green","green","green","red","red","red","red","red","red"
"399","green","green","red","green","green","green","green","green","red","green"
"400","red","green","red","green","red","green","green","red","green","green"
"401","red","red","green","red","green","green","red","red","red","red"
"402","green","green","green","red","red","green","green","green","red","green"
"403","red","red","green","green","red","green","green","red","green","green"
